date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
2014-08-05,,,936316.681967,0.002976,30316.0,,
2014-08-06,,,863077.158449,0.002373,35820.0,,
2014-08-07,,,1158973.02199,0.002686,142864.0,,
2014-08-08,,,1090403.24089,0.002493,93708.0,,
2014-08-09,,,1363031.75524,0.002884,233579.0,,
2014-08-10,,,1800928.18127,0.003497,352737.0,,
2014-08-11,,,2891385.48705,0.004566,479942.0,,
2014-08-12,,,3069167.44641,0.003592,345441.0,,
2014-08-13,,,2445518.87559,0.002619,256302.0,,
2014-08-14,,,2706109.39488,0.002763,169177.0,,
2014-08-15,,,2596557.07699,0.002566,135243.0,,
2014-08-16,,,2467401.67564,0.002401,116834.0,,
2014-08-17,,,2598081.23021,0.002507,61889.0,,
2014-08-18,,,2436286.49877,0.002336,104237.0,,
2014-08-19,,,2115252.32914,0.002028,66941.0,,
2014-08-20,,,2318500.82812,0.002223,96584.0,,
2014-08-21,,,2595462.86192,0.002488,76029.0,,
2014-08-22,,,2495118.0535,0.002392,50589.0,,
2014-08-23,,,2459989.56102,0.002358,43776.0,,
2014-08-24,,,2333663.05511,0.002237,37470.0,,
2014-08-25,,,2332284.91851,0.002236,38512.0,,
2014-08-26,,,2316314.95853,0.002221,99823.0,,
2014-08-27,,,2379373.01716,0.002281,60132.0,,
2014-08-28,,,2368397.21101,0.00227,90044.0,,
2014-08-29,,,2277735.18589,0.002184,43049.0,,
2014-08-30,,,2314044.95763,0.002218,39116.0,,
2014-08-31,,,2283992.54731,0.00219,22844.0,,
2014-09-01,,,2149765.52687,0.002061,27975.0,,
2014-09-02,,,2095005.96698,0.002008,23793.0,,
2014-09-03,,,2228280.41671,0.001998,36081.0,,
2014-09-04,,,2306456.03333,0.002059,58031.0,,
2014-09-05,,,2396117.00288,0.00213,26119.0,,
2014-09-06,,,2353748.52283,0.002082,31676.0,,
2014-09-07,,,2340130.77299,0.00206,34744.0,,
2014-09-08,,,2331906.09659,0.002042,105569.0,,
2014-09-09,,,2600046.3292,0.002265,51289.0,,
2014-09-10,,,2516076.37796,0.002179,59878.0,,
2014-09-11,,,2605071.35386,0.002244,113300.0,,
2014-09-12,,,2918445.08086,0.0025,117052.0,,
2014-09-13,,,3560039.36134,0.003032,111452.0,,
2014-09-14,,,3656459.10703,0.003096,113315.0,,
2014-09-15,,,3415101.95304,0.002874,72903.0,,
2014-09-16,,,3618751.44849,0.003031,86555.0,,
2014-09-17,,,3586169.00391,0.002988,118073.0,,
2014-09-18,,,3703698.98438,0.003081,205474.0,,
2014-09-19,,,4184919.14773,0.00346,204649.0,,
2014-09-20,,,4769227.8804,0.003936,186971.0,,
2014-09-21,,,4409412.82333,0.00361,145626.0,,
2014-09-22,,,4241942.02685,0.003466,178810.0,,
2014-09-23,,,4910526.45448,0.004007,120447.0,,
2014-09-24,,,4909514.45861,0.003966,163121.0,,
2014-09-25,,,4851767.57584,0.003878,81902.0,,
2014-09-26,,,4528665.44262,0.0036,117908.0,,
2014-09-27,,,3852203.92277,0.003044,44492.0,,
2014-09-28,,,4156602.98614,0.003262,77804.0,,
2014-09-29,,,4058980.70672,0.00317,32858.0,,
2014-09-30,,,4156295.60137,0.003227,21131.0,,
2014-10-01,,,4177007.33924,0.003221,70180.0,,
2014-10-02,,,3772321.63866,0.002888,30542.0,,
2014-10-03,,,3617966.37947,0.002743,34169.0,,
