,LTC,,,,,ETH,,,,,ETC,,,,,DASH,,,,,BTC,,,,
date,marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD),marketcap(USD),price(USD),exchangeVolume(USD),fees,txVolume(USD)
2016-07-24,190061122.157,4.06,1839420,12.50028786,37384675.4922,1177000518.25,14.3,77750800,37.34635349,241616448.695,61916077.6736,0.752345,17769300,19.6850084925,13170626.3466,61885617.6938,9.36,370757,11.65940841,672327.128105,10339640201.9,655.41,118184000,50.9057638,898701310.775
2016-07-25,190653064.189,4.07,1535980,13.01398752,25171084.8247,1048753162.1,12.74,36673800,39.4303377071,161980594.537,76700649.6774,0.931993,9308400,23.0742824187,9059931.34708,61162512.1446,9.24,314414,10.28446987,667165.715401,10432841613,661.26,78176496,69.72168119,786295133.692
2016-07-26,189219906.741,4.04,2545920,17.42996261,40149084.067,1138357448.03,13.82,94428800,45.4888850849,367451282.492,49836233.8789,0.604737,103066000,25.8289033522,6952440.01749,60570421.2698,9.15,531920,9.24513815,1025441.30567,10323051228.4,654.23,225135008,70.79427446,1084170331.16
2016-07-27,185328222,3.96,1847300,15.08080608,29207162.1753,993214074.815,12.05,58278800,38.2401256064,204740896.415,202708595.588,2.46,62645700,26.8256999035,38521058.942,58953896.6667,8.9,378749,10.2258503,1541492.4095,10282995236,651.63,147460992,74.91411699,1150992411.41
2016-07-28,185939721,3.97,1728410,13.21384825,18981749.6467,1070358204.58,12.98,24603900,63.9512623846,158799908.351,128417421.78,1.56,40291300,21.7173534742,24906842.7146,60590895.0806,9.15,237187,9.3182223,2241344.04186,10329226934.7,654.49,86428400,71.63045994,1062365437.15
2016-07-29,185991086.578,3.97,1744370,15.81228412,25612997.439,1059307441.98,12.84,14082300,45.6820482747,91052791.905,140360519.25,1.71,20745500,19.6500413467,18895465.519,61740044.4397,9.32,212714,9.89429014,920620.994403,10340135731.8,655.11,60703500,72.26700639,957964059.734
2016-07-30,191407220.69,4.08,1388580,13.28013036,24908264.9047,1056117582.28,12.8,9047810,29.9904692087,66653176.1649,136531107.987,1.66,10061600,11.117137677,11728311.2662,62617161.5727,9.45,275617,11.50068228,966414.449654,10370984126.5,657.01,38456100,65.72047583,538798107.529
2016-07-31,191569322.574,4.08,1921460,18.88591111,23660918.7523,1026378463.1,12.44,25441400,30.3715109,58325872.4032,129102917.711,1.57,29167500,12.607749391,11081128.7648,60835167.8801,9.18,318887,11.47734462,1165038.16896,10342109080.3,655.1,110818000,72.5596168,795458091.839
2016-08-01,190677610.751,4.06,1991690,18.46587645,43533804.6457,981858057.425,11.89,23999500,30.4418022721,98003978.0481,147384208.38,1.79,45924200,14.495825735,17567749.7584,62641375.3636,9.45,1088710,14.10298593,3186649.82942,9861759485.16,624.6,121887000,73.17800941,741449314.399
2016-08-02,181629890.283,3.87,5039290,21.49555872,54571537.2393,904165522.73,10.95,88803296,33.9640038066,184570696.966,194587057.754,2.36,147855008,18.7776739282,27248156.6862,66451437.8188,10.02,1182910,13.30163588,2104253.06052,9575402730.28,606.4,330932992,81.38920804,1535706766.69
2016-08-03,170874287.161,3.64,2875880,16.07794545,39925098.1618,734027053.971,8.88,53979400,33.0260360954,115753559.142,229104838.215,2.78,74184496,21.5209123237,20349944.677,61655479.6892,9.29,719797,13.1209238,1542658.51938,8664903668.06,548.66,207982000,75.68290751,830843524.079
2016-08-04,174179550.365,3.71,1593350,12.15307424,32031516.9916,852464358.863,10.31,38151400,32.4119004697,54019524.9781,213790003.748,2.59,43516500,17.9889128156,18005362.3039,61872218.489,9.32,413348,10.57030238,1013460.62483,8944915431.89,566.33,125292000,69.53744777,1206258365.09
