,date,marketcap,price,txVol,meanFee
262,2017-07-06,0.0,1.78,43938.384935300004,1.9083969465648854e-11
263,2017-07-07,0.0,1.72,106375.503827,0.0
264,2017-07-08,0.0,2.01,30887.990528500002,0.0
265,2017-07-09,0.0,1.81,29677.3250147,0.0
266,2017-07-10,0.0,2.11,63765.338303100005,0.0
267,2017-07-11,0.0,2.06,92473.926576,0.0
268,2017-07-12,0.0,2.16,182556.777103,0.0
269,2017-07-13,0.0,2.67,234762.329956,0.0
270,2017-07-14,0.0,3.24,236719.35865300003,0.0
271,2017-07-15,0.0,2.8,37434.1797676,0.0
272,2017-07-16,0.0,1.85,30117.298924699997,0.0
273,2017-07-17,0.0,1.96,21161.9367708,0.0
274,2017-07-18,0.0,2.11,32479.963807099997,0.0
275,2017-07-19,0.0,2.28,71028.3687237,0.0
276,2017-07-20,0.0,2.16,22218.542215999998,0.0
277,2017-07-21,0.0,2.18,12826.8566357,0.0
278,2017-07-22,0.0,2.19,12860.1763344,0.0
279,2017-07-23,0.0,2.43,51771.938825,0.0
280,2017-07-24,0.0,2.57,36836.2422133,0.0
281,2017-07-25,0.0,2.68,11810.9470015,0.0
282,2017-07-26,0.0,2.56,27493.0730769,0.0
283,2017-07-27,0.0,2.51,22083.459594099997,0.0
284,2017-07-28,0.0,2.6,27180.053780699996,0.0
285,2017-07-29,0.0,2.54,46111.7756819,0.0
286,2017-07-30,0.0,2.51,9131.27827181,0.0
287,2017-07-31,0.0,2.51,40637.0139556,0.0
288,2017-08-01,6781233.366669999,2.32,27069.112709900004,1.5136876006441225e-09
289,2017-08-02,7015973.67089,2.4,71747.91285610001,2.994011976047904e-11
290,2017-08-03,6933932.40741,2.37,66236.225242,0.0
291,2017-08-04,7117511.77895,2.43,119421.920779,5.175600739371534e-09
292,2017-08-05,8333239.15068,2.85,124244.63944700001,0.0
293,2017-08-06,10658558.964,3.64,1726778.31227,1.299545159194282e-11
294,2017-08-07,12232668.0101,4.18,42033228.5023,5.237560793116349e-11
295,2017-08-08,23177712.4326,7.92,2563333.4238400003,2.462587611290017e-11
296,2017-08-09,30886877.6613,10.55,2993718.8300799998,3.553800592300099e-11
297,2017-08-10,70790555.8107,24.18,5702946.90102,3.5105315947843535e-11
298,2017-08-11,60374172.3784,20.63,2663540.90382,1.7825311942959e-11
299,2017-08-12,51660659.1745,17.65,890750.698385,1.0584250635055037e-11
300,2017-08-13,49757482.1429,17.0,3726369.92754,7.662835249042146e-11
301,2017-08-14,80705529.1126,27.57,3760440.3132800004,4.552253365415881e-11
302,2017-08-15,99545175.2486,34.01,11276609.13,3.576437587657784e-11
303,2017-08-16,95483752.9654,32.62,2075414.79026,2.6994601079784044e-11
304,2017-08-17,105423923.645,36.01,2059652.2700599998,4.7777946306688914e-11
305,2017-08-18,93996667.5352,32.11,4658164.91419,6.255144032921811e-11
306,2017-08-19,85626490.1908,29.25,1428236.63224,5.8007794797425906e-11
307,2017-08-20,95683146.7277,32.69,1529382.80281,0.04033516804896082
308,2017-08-21,86259309.866,29.47,665412.7857359999,5.205709487825357e-11
309,2017-08-22,74680003.5364,25.51,1643403.80462,3.087260510306002e-11
310,2017-08-23,199836752.848,24.25,2053223.5544200002,4.008016032064128e-11
311,2017-08-24,203769691.52,24.7,511077.988778,4.1438753522294045e-11
312,2017-08-25,205227768.69,24.87,407167.643813,3.7684138403562865e-11
313,2017-08-26,190570244.515,23.08,239858.409327,3.261078074045655e-11
314,2017-08-27,177606488.529,21.5,335077.40208699997,3.7785754770451536e-11
315,2017-08-28,159789712.539,19.33,1279970.54737,6.216618509762718e-11
316,2017-08-29,163473916.178,19.77,447134.36291400006,7.750855387193632e-11
317,2017-08-30,152951168.308,18.48,423070.564284,5.820907423650427e-11
318,2017-08-31,165565883.611,19.99,657673.146543,3.947767992711813e-11
319,2017-09-01,140156941.622,16.91,343082.39300700004,4.820333041191937e-11
320,2017-09-02,123875546.548,14.94,185915.132579,4.3315285297792586e-11
321,2017-09-03,119039872.65200001,14.35,307004.080385,5.818710791890172e-11
322,2017-09-04,102439486.463,12.33,2484665.9729400002,1.4052887858347386e-05
323,2017-09-05,85319579.0614,10.25,376051.439866,2.7998950039373524e-11
324,2017-09-06,91982654.865,11.05,3755834.6419900004,3.436130916587922e-11
325,2017-09-07,72843737.6545,8.74,1235324.2089,5.389221556886227e-11
326,2017-09-08,130438168.096,15.64,1113302.3328200001,4.548151077714059e-11
327,2017-09-09,94111931.674,11.28,319346.32500300003,3.444811253050093e-11
328,2017-09-10,95332630.4558,11.41,870295.071312,3.6415658733255304e-11
329,2017-09-11,90918151.2956,10.88,161375.70279500002,4.4904577772234003e-11
330,2017-09-12,90118353.2667,10.78,247881.149166,4.3842682140554476e-11
331,2017-09-13,80995384.3831,9.67,434225.53082600003,4.0458530006743086e-11
332,2017-09-14,78590861.7051,9.38,660799.59881,9.002085849160172e-11
333,2017-09-15,91292938.3401,10.88,883516.5060389999,7.73949976403964e-11
334,2017-09-16,98278233.5303,11.71,2933345.7264799997,0.10531914896382978
335,2017-09-17,87321553.2136,10.4,437132.69733500003,2.975385447660265e-11
336,2017-09-18,82229336.1183,9.78,389144.818469,4.5162018742237775e-11
337,2017-09-19,91299308.96700001,10.85,327554.140552,4.033161550526552e-11
338,2017-09-20,77789239.208,9.24,137266.902982,4.038655704601183e-11
339,2017-09-21,75413237.1638,8.95,447594.143508,6.373655557030938e-11
340,2017-09-22,91571387.9104,10.85,1689755.1066,1.6893250744107476e-10
341,2017-09-23,127800119.784,15.13,666332.2524720001,8.289124668435014e-11
342,2017-09-24,139357457.74,16.49,445262.559514,6.967774045041683e-11
343,2017-09-25,128709877.905,15.22,1154355.5038100001,8.991921320688444e-11
344,2017-09-26,220259398.93400002,25.99,7968287.28037,1.1391778107974244e-10
345,2017-09-27,215399282.1,25.39,1433755.67344,8.21006440653974e-11
346,2017-09-28,223851625.752,26.37,1978676.1119400002,5.4958780914314264e-11
347,2017-09-29,194294094.306,22.88,881065.803651,5.438192846684794e-11
348,2017-09-30,187344569.33900002,22.05,1960177.0546099998,9.246336357292394e-11
349,2017-10-01,263303464.967,30.97,8229552.183780001,1.0912343470483005e-10
350,2017-10-02,256875532.73400003,30.2,1874510.9311400002,7.665822126940817e-11
351,2017-10-03,269724179.23,31.68,1507433.88454,7.791575359142926e-11
352,2017-10-04,233855260.623,27.45,987867.601749,9.490863934717048e-11
353,2017-10-05,247274757.11400002,29.0,973825.677882,8.322454308093995e-11
354,2017-10-06,251033018.54099998,29.43,741632.3915960001,3.3634650665035926e-06
355,2017-10-07,238601950.48,27.93,1314267.72977,3.818043008016287e-07
356,2017-10-08,239621149.995,28.03,1591980.87815,0.014231510944724442
357,2017-10-09,201095151.628,23.5,4867340.536119999,9.256725572697521e-06
358,2017-10-10,195042417.14400002,22.78,675055.328779,8.396364399664147e-06
359,2017-10-11,199252789.808,23.26,756329.1598520001,1.573578172448698e-05
360,2017-10-12,196534055.11900002,22.93,774060.733371,5.551532418560805e-06
361,2017-10-13,179482981.23,20.93,503886.742966,2.2988979885057473e-06
362,2017-10-14,208734442.025,24.32,568912.3237109999,2.4459189378057305e-06
363,2017-10-15,196624180.665,22.89,657849.2203640001,0.007411649322986353
364,2017-10-16,189764122.564,22.07,677089.211274,2.6753561475866682e-06
365,2017-10-17,188531267.0,21.93,5325781.66677,5.293639547194397e-06
366,2017-10-18,188207287.586,21.89,688916.4457609999,1.7374041900868675e-06
367,2017-10-19,178662354.126,20.78,870828.956312,2.174659127976514e-06
368,2017-10-20,173355844.095,20.16,334069.575033,3.615557910484977e-06
369,2017-10-21,168944160.315,19.65,352187.0589,7.663320561941251e-07
370,2017-10-22,163879947.96,19.06,331674.592589,8.707681888544892e-07
371,2017-10-23,178850002.5,20.8,480585.536451,4.468821360741817e-06
372,2017-10-24,164047230.165,19.08,751279.135362,1.6597629020785584e-06
373,2017-10-25,174862807.645,20.34,329346.38591199997,4.513645326048224e-06
374,2017-10-26,164359486.19799998,19.12,580982.083065,9.860434928403118e-05
375,2017-10-27,160557709.466,18.68,511712.89580600004,0.0006627899536116634
376,2017-10-28,166507544.361,19.37,451768.88921899995,0.00034907837243401755
377,2017-10-29,149806323.82299998,17.43,364674.27926700003,0.00010383306814310052
378,2017-10-30,154112013.334,17.93,533095.037784,1.3761527959807775e-05
379,2017-10-31,162149284.326,18.86,555771.860421,9.523853311439517e-06
380,2017-11-01,150484372.067,17.5,475113.32708500006,0.00011693958347254705
381,2017-11-02,132047862.58700001,15.36,440047.241408,5.235060885398885e-06
382,2017-11-03,130775938.39700001,15.21,808660.367782,2.4278222869628554e-06
383,2017-11-04,148043546.34399998,17.22,268628.98866100004,2.4307106090935088e-06
384,2017-11-05,146384800.467,17.03,341186.738403,2.561945156086915e-06
385,2017-11-06,144347576.91799998,16.79,406404.379316,2.2504323107900037e-06
386,2017-11-07,147698689.063,17.18,499474.309607,1.2625483150432165e-06
387,2017-11-08,153425578.132,17.85,1124742.81573,1.5913743218806509e-06
388,2017-11-09,187480173.909,21.81,1376475.4539299998,2.5105167364016737e-06
389,2017-11-10,198759418.70700002,23.12,1329434.1477299999,6.83669438285292e-06
390,2017-11-11,171726893.248,19.98,1465906.8847700001,0.0003423361675702316
391,2017-11-12,171976093.931,20.0,770333.422761,2.205965350263639e-05
392,2017-11-13,161563663.764,18.79,8219133.471539999,5.129642758999725e-06
393,2017-11-14,169770486.988,19.75,494433.778237,0.09344870331617086
394,2017-11-15,173757894.33900002,20.21,609301.306997,3.889147387315516e-06
395,2017-11-16,190120423.21400002,22.12,548956.6580439999,7.5141780751415335e-06
396,2017-11-17,166893888.169,19.41,5085842.26788,3.366618106139438e-06
397,2017-11-18,218163454.667,25.38,3552248.1204699995,4.409173911234974e-06
398,2017-11-19,236549318.617,27.52,2229264.4257,4.938912176280631e-06
399,2017-11-20,207992202.374,24.19,1734347.4164,8.000014545454545e-06
400,2017-11-21,185712299.0,21.6,1378718.00455,5.767679935012186e-06
401,2017-11-22,185346809.67700002,21.56,796809.2413989999,2.38929089512757e-06
402,2017-11-23,182221610.8,21.2,1549178.2462,1.4254418774541138e-05
403,2017-11-24,169949498.277,19.77,695018.340202,1.801457838252204e-05
404,2017-11-25,178806308.305,20.8,917829.2383409999,1.3352314134471043e-05
