#,Symbol,Name,Market Cap (US $),Price (US $),Circulating Supply,Volume (24h), 1h (%), 24h (%), 7d (%)
1, BTC ,Bitcoin,65549846077,3768.79,17392787,5093914215,-0.1,-13.46,-32.64
2, XRP ,XRP,13998356446,0.347118,40327341704,826920455,-0.6,-15.13,-31.43
3, ETH ,Ethereum,11158159719,107.9,103410441,1866712302,-0.18,-13.19,-38.62
4, BCH ,Bitcoin Cash,3001325626,171.74,17475762,108393270,-0.61,-17.78,-55.84
5, EOS ,EOS,2862999812,3.16,906245118,865072068,-0.03,-12.63,-31.4
6, XLM ,Stellar,2770626573,0.144681,19149937292,107789873,-0.45,-20.22,-42
7, USDT ,Tether,1770501452,0.980115,1806421736,3928812354,0.02,-0.34,-0.72
8, LTC ,Litecoin,1692307423,28.54,59299875,449201152,-0.08,-11.88,-32.88
9, XMR ,Monero,929735016,56.02,16596133,16817781,-0.36,-15.98,-37.58
10, ADA ,Cardano,921784629,0.035553,25927070538,30922716,-0.69,-17.6,-42.5
11, TRX ,TRON,776557643,0.011811,65748111645,73507600,-0.45,-14.49,-37.68
12, DASH ,Dash,743512468,87.85,8463191,151017998,-0.39,-13.34,-35
13, MIOTA ,IOTA,741013195,0.266597,2779530283,14245637,-0.01,-16.72,-35.88
14, BNB ,Binance Coin,621732613,4.75,130799315,12860793,-0.41,-13.96,-39.33
15, XEM ,NEM,589967785,0.065552,8999999999,9826956,-0.31,-15.38,-29.55
16, ETC ,Ethereum Classic,478701141,4.5,106284797,178532658,-0.32,-13.58,-40.23
17, NEO ,NEO,467517964,7.19,65000000,141798877,-0.18,-15.97,-42.59
18, ZEC ,Zcash,339981605,64.03,5309689,122519284,-0.16,-17.6,-42.45
19, BTG ,Bitcoin Gold,320757356,18.47,17361713,7413502,0.08,-9.57,-31.93
20, XTZ ,Tezos,317658148,0.522904,607489041,1961485,-0.72,-18.95,-52.48
21, DOGE ,Dogecoin,254586950,0.002174,117126752634,11558463,-0.15,-8.28,-16.58
22, ONT ,Ontology,247226772,0.849238,291115881,27718724,-0.68,-13.64,-36.43
23, VET ,VeChain,239209696,0.004314,55454734800,6571634,-0.43,-16.21,-44.07
24, MKR ,Maker,232156476,318.8,728228,791743,-0.95,-14.64,-44.18
25, OMG ,OmiseGO,197551834,1.41,140245398,21150373,-0.44,-17.7,-48.24
26, ZRX ,0x,188478125,0.344975,546353376,11585135,-0.08,-14.72,-37.05
27, TUSD ,TrueUSD,186395201,1.01,183758358,54689164,0,0.09,0.19
28, QTUM ,Qtum,175829044,1.97,89060657,168374370,-0.66,-15.44,-36.62
29, DCR ,Decred,174570703,19.68,8872545,1270810,-0.15,-14.61,-40.51
30, USDC ,USD Coin,169341637,1.02,166111361,21529911,-0.1,-0.09,0.88
31, BAT ,Basic Attenti...,161455541,0.136728,1180848540,4229650,-0.5,-16.23,-36.97
